Designator,Mid X,Mid Y,Rotation,Layer
BT1,189.0,-66.5,0.0,bottom
BZ1,147.0,-118.5,0.0,bottom
C1,144.05,-76.75,0.0,bottom
C2,76.05,-104.5,180.0,bottom
C3,145.0,-59.05,90.0,bottom
ELEGOO_ESP1,149.22,-92.275,0.0,bottom
PD1,89.6,-125.9,90.0,bottom
R1,111.25,-112.9125,270.0,bottom
R2,112.5,-122.0,180.0,bottom
SD_READER1,87.05,-106.5,270.0,bottom
SW1,95.25,-79.25,0.0,top
SW2,95.25,-96.75,0.0,top
SW3,86.5,-88.0,0.0,top
SW4,104.0,-88.0,0.0,top
SW5,128.0,-118.5,0.0,top
SW6,165.5,-118.5,0.0,top
SW7,208.0,-82.5,0.0,top
SW8,105.5,-67.5,0.0,top
SW9,198.5,-92.0,0.0,top
TFT1,146.5,-86.5,0.0,top
